"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1364","Login link stays on login page","ui-webkit","2026-06-09","passed","2026-06-09","Login - Functional","ui/login/functional.spec.ts","",""
"","35","Create test case without Title returns error","api","2026-06-09","passed","2026-06-09","Test Case API","api/test-cases.spec.ts","",""
"","906","Forgot Password link redirects correctly","ui-chromium","2026-06-09","passed","2026-06-09","Login - Functional","ui/login/functional.spec.ts","",""
"","173","Create test case with Automated flag","api","2026-06-09","passed","2026-06-09","Test Case API","api/test-cases.spec.ts","",""
"","1673","Admin link navigates to admin login","ui-chromium","2026-06-09","passed","2026-06-09","Login - Functional","ui/login/functional.spec.ts","",""
"","1458","Empty fields do not trigger backend call","ui-chromium","2026-06-09","passed","2026-06-09","Login - Functional","ui/login/functional.spec.ts","",""
"","215","Login with invalid email format returns validation error","api","2026-06-09","passed","2026-06-09","Login API","api/login.spec.ts","",""
"","1283","Password field is masked","ui-firefox","2026-06-09","passed","2026-06-09","Login - Security","ui/login/security.spec.ts","",""
"","2462","Automated toggle defaults to off","ui-webkit","2026-06-09","passed","2026-06-09","Test Case - Functional","ui/test-case/functional.spec.ts","",""
"","1497","Empty form shows all validation errors","ui-firefox","2026-06-09","passed","2026-06-09","Login - Validation","ui/login/validation.spec.ts","",""
"","1131","Empty password shows validation error","ui-webkit","2026-06-09","passed","2026-06-09","Login - Validation","ui/login/validation.spec.ts","",""
"","1097","Empty password shows validation error","ui-chromium","2026-06-09","passed","2026-06-09","Login - Validation","ui/login/validation.spec.ts","",""
"","10757","Fields have correct placeholders","ui-firefox","2026-06-09","passed","2026-06-09","Test Case - Usability","ui/test-case/usability.spec.ts","",""
"","34","Create test case without auth returns unauthorized","api","2026-06-09","passed","2026-06-09","Test Case API","api/test-cases.spec.ts","",""
"","1158","Empty form shows all validation errors","ui-chromium","2026-06-09","passed","2026-06-09","Login - Validation","ui/login/validation.spec.ts","",""
"","1063","Login fails with invalid credentials","ui-chromium","2026-06-09","passed","2026-06-09","Login - Functional","ui/login/functional.spec.ts","",""
"","910","Remember me toggle is visible and interactive","ui-chromium","2026-06-09","passed","2026-06-09","Login - Usability","ui/login/usability.spec.ts","",""
"","1844","Login succeeds with valid credentials","ui-chromium","2026-06-09","passed","2026-06-09","Login - Functional","ui/login/functional.spec.ts","",""
"","12865","Enter key does not accidentally submit form","ui-firefox","2026-06-09","passed","2026-06-09","Test Case - Usability","ui/test-case/usability.spec.ts","",""
"","1776","Login link stays on login page","ui-firefox","2026-06-09","passed","2026-06-09","Login - Functional","ui/login/functional.spec.ts","",""
"","1007","Automated toggle defaults to off","ui-chromium","2026-06-09","passed","2026-06-09","Test Case - Functional","ui/test-case/functional.spec.ts","",""
"","1366","Login fails with invalid credentials","ui-firefox","2026-06-09","passed","2026-06-09","Login - Functional","ui/login/functional.spec.ts","",""
"","1239","Submit with empty Expected Result shows error","ui-firefox","2026-06-09","passed","2026-06-09","Test Case - Validation","ui/test-case/validation.spec.ts","",""
"","2606","Create test case with optional description","ui-chromium","2026-06-09","passed","2026-06-09","Test Case - Functional","ui/test-case/functional.spec.ts","",""
"","1141","Page loads over HTTPS","ui-chromium","2026-06-09","passed","2026-06-09","Login - Security","ui/login/security.spec.ts","",""
"","1341","Forgot Password link redirects correctly","ui-webkit","2026-06-09","passed","2026-06-09","Login - Functional","ui/login/functional.spec.ts","",""
"","1080","Admin link navigates to admin login","ui-webkit","2026-06-09","passed","2026-06-09","Login - Functional","ui/login/functional.spec.ts","",""
"","9659","Multiple test steps preserved in order","ui-firefox","2026-06-09","passed","2026-06-09","Test Case - Validation","ui/test-case/validation.spec.ts","",""
"","1484","Submit with no test steps shows error","ui-webkit","2026-06-09","passed","2026-06-09","Test Case - Validation","ui/test-case/validation.spec.ts","",""
"","1408","Enter key does not accidentally submit form","ui-webkit","2026-06-09","passed","2026-06-09","Test Case - Usability","ui/test-case/usability.spec.ts","",""
"","1314","Invalid email format shows error","ui-chromium","2026-06-09","passed","2026-06-09","Login - Validation","ui/login/validation.spec.ts","",""
"","2385","Create test case with required fields","ui-chromium","2026-06-09","passed","2026-06-09","Test Case - Functional","ui/test-case/functional.spec.ts","",""
"","1331","Empty password shows validation error","ui-firefox","2026-06-09","passed","2026-06-09","Login - Validation","ui/login/validation.spec.ts","",""
"","1171","Password field is masked","ui-webkit","2026-06-09","passed","2026-06-09","Login - Security","ui/login/security.spec.ts","",""
"","136","Create test case without Expected Result returns error","api","2026-06-09","passed","2026-06-09","Test Case API","api/test-cases.spec.ts","",""
"","1346","Enter key does not accidentally submit form","ui-chromium","2026-06-09","passed","2026-06-09","Test Case - Usability","ui/test-case/usability.spec.ts","",""
"","1962","authenticate","auth-setup","2026-06-09","passed","2026-06-09","","setup/auth.setup.ts","",""
"","561","Login with invalid credentials returns error","api","2026-06-09","passed","2026-06-09","Login API","api/login.spec.ts","",""
"","1152","Empty form shows all validation errors","ui-webkit","2026-06-09","passed","2026-06-09","Login - Validation","ui/login/validation.spec.ts","",""
"","754","Password field is masked","ui-chromium","2026-06-09","passed","2026-06-09","Login - Security","ui/login/security.spec.ts","",""
"","1702","Submit with empty Title shows error","ui-webkit","2026-06-09","passed","2026-06-09","Test Case - Validation","ui/test-case/validation.spec.ts","",""
"","560","Login with missing password returns validation error","api","2026-06-09","passed","2026-06-09","Login API","api/login.spec.ts","",""
"","1626","Labels and placeholders are correct","ui-firefox","2026-06-09","passed","2026-06-09","Login - Usability","ui/login/usability.spec.ts","",""
"","1089","Submit with empty Expected Result shows error","ui-chromium","2026-06-09","passed","2026-06-09","Test Case - Validation","ui/test-case/validation.spec.ts","",""
"","2088","Mark test case as Automated","ui-webkit","2026-06-09","passed","2026-06-09","Test Case - Functional","ui/test-case/functional.spec.ts","",""
"","2274","Login succeeds with valid credentials","ui-webkit","2026-06-09","passed","2026-06-09","Login - Functional","ui/login/functional.spec.ts","",""
"","318","Login with missing email returns validation error","api","2026-06-09","passed","2026-06-09","Login API","api/login.spec.ts","",""
"","1331","Page loads over HTTPS","ui-webkit","2026-06-09","passed","2026-06-09","Login - Security","ui/login/security.spec.ts","",""
"","2174","Add multiple test steps","ui-webkit","2026-06-09","passed","2026-06-09","Test Case - Functional","ui/test-case/functional.spec.ts","",""
"","951","Labels and placeholders are correct","ui-chromium","2026-06-09","passed","2026-06-09","Login - Usability","ui/login/usability.spec.ts","",""
"","7259","Mark test case as Automated","ui-firefox","2026-06-09","passed","2026-06-09","Test Case - Functional","ui/test-case/functional.spec.ts","",""
"","18158","Add multiple test steps","ui-firefox","2026-06-09","passed","2026-06-09","Test Case - Functional","ui/test-case/functional.spec.ts","",""
"","2534","Multiple test steps preserved in order","ui-webkit","2026-06-09","passed","2026-06-09","Test Case - Validation","ui/test-case/validation.spec.ts","",""
"","1402","Back arrow returns to test case list","ui-webkit","2026-06-09","passed","2026-06-09","Test Case - Functional","ui/test-case/functional.spec.ts","",""
"","1440","Submit with empty Title shows error","ui-firefox","2026-06-09","passed","2026-06-09","Test Case - Validation","ui/test-case/validation.spec.ts","",""
"","1972","Page loads over HTTPS","ui-firefox","2026-06-09","passed","2026-06-09","Login - Security","ui/login/security.spec.ts","",""
"","1850","Multiple test steps preserved in order","ui-chromium","2026-06-09","passed","2026-06-09","Test Case - Validation","ui/test-case/validation.spec.ts","",""
"","21641","Create test case with required fields","ui-firefox","2026-06-09","passed","2026-06-09","Test Case - Functional","ui/test-case/functional.spec.ts","",""
"","2659","Remember me persists session","ui-firefox","2026-06-09","passed","2026-06-09","Login - Functional","ui/login/functional.spec.ts","",""
"","1724","Remember me toggle is visible and interactive","ui-firefox","2026-06-09","passed","2026-06-09","Login - Usability","ui/login/usability.spec.ts","",""
"","1768","Add multiple test steps","ui-chromium","2026-06-09","passed","2026-06-09","Test Case - Functional","ui/test-case/functional.spec.ts","",""
"","1204","Empty fields do not trigger backend call","ui-webkit","2026-06-09","passed","2026-06-09","Login - Functional","ui/login/functional.spec.ts","",""
"","1825","Fields have correct placeholders","ui-webkit","2026-06-09","passed","2026-06-09","Test Case - Usability","ui/test-case/usability.spec.ts","",""
"","1989","Automated toggle defaults to off","ui-firefox","2026-06-09","passed","2026-06-09","Test Case - Functional","ui/test-case/functional.spec.ts","",""
"","1232","Submit with no test steps shows error","ui-chromium","2026-06-09","passed","2026-06-09","Test Case - Validation","ui/test-case/validation.spec.ts","",""
"","971","Back arrow returns to test case list","ui-chromium","2026-06-09","passed","2026-06-09","Test Case - Functional","ui/test-case/functional.spec.ts","",""
"","7320","Create test case with optional description","ui-firefox","2026-06-09","passed","2026-06-09","Test Case - Functional","ui/test-case/functional.spec.ts","",""
"","1804","Forgot Password link redirects correctly","ui-firefox","2026-06-09","passed","2026-06-09","Login - Functional","ui/login/functional.spec.ts","",""
"","338","Create test case with valid data","api","2026-06-09","passed","2026-06-09","Test Case API","api/test-cases.spec.ts","",""
"","1316","Fields have correct placeholders","ui-chromium","2026-06-09","passed","2026-06-09","Test Case - Usability","ui/test-case/usability.spec.ts","",""
"","2106","Create test case with optional description","ui-webkit","2026-06-09","passed","2026-06-09","Test Case - Functional","ui/test-case/functional.spec.ts","",""
"","2890","Mark test case as Automated","ui-chromium","2026-06-09","passed","2026-06-09","Test Case - Functional","ui/test-case/functional.spec.ts","",""
"","2115","Remember me persists session","ui-webkit","2026-06-09","passed","2026-06-09","Login - Functional","ui/login/functional.spec.ts","",""
"","2605","Admin link navigates to admin login","ui-firefox","2026-06-09","passed","2026-06-09","Login - Functional","ui/login/functional.spec.ts","",""
"","1644","Invalid email format shows error","ui-firefox","2026-06-09","passed","2026-06-09","Login - Validation","ui/login/validation.spec.ts","",""
"","35","Create test case without Test Steps returns error","api","2026-06-09","passed","2026-06-09","Test Case API","api/test-cases.spec.ts","",""
"","526","Login with valid credentials returns success","api","2026-06-09","passed","2026-06-09","Login API","api/login.spec.ts","",""
"","1389","Submit with empty Expected Result shows error","ui-webkit","2026-06-09","passed","2026-06-09","Test Case - Validation","ui/test-case/validation.spec.ts","",""
"","2183","Empty fields do not trigger backend call","ui-firefox","2026-06-09","passed","2026-06-09","Login - Functional","ui/login/functional.spec.ts","",""
"","2641","Login succeeds with valid credentials","ui-firefox","2026-06-09","passed","2026-06-09","Login - Functional","ui/login/functional.spec.ts","",""
"","1334","Login fails with invalid credentials","ui-webkit","2026-06-09","passed","2026-06-09","Login - Functional","ui/login/functional.spec.ts","",""
"","1401","Remember me toggle is visible and interactive","ui-webkit","2026-06-09","passed","2026-06-09","Login - Usability","ui/login/usability.spec.ts","",""
"","788","Login link stays on login page","ui-chromium","2026-06-09","passed","2026-06-09","Login - Functional","ui/login/functional.spec.ts","",""
"","1269","Invalid email format shows error","ui-webkit","2026-06-09","passed","2026-06-09","Login - Validation","ui/login/validation.spec.ts","",""
"","1071","Submit with empty Title shows error","ui-chromium","2026-06-09","passed","2026-06-09","Test Case - Validation","ui/test-case/validation.spec.ts","",""
"","7498","Back arrow returns to test case list","ui-firefox","2026-06-09","passed","2026-06-09","Test Case - Functional","ui/test-case/functional.spec.ts","",""
"","1513","Submit with no test steps shows error","ui-firefox","2026-06-09","passed","2026-06-09","Test Case - Validation","ui/test-case/validation.spec.ts","",""
"","1481","Remember me persists session","ui-chromium","2026-06-09","passed","2026-06-09","Login - Functional","ui/login/functional.spec.ts","",""
"","1087","Labels and placeholders are correct","ui-webkit","2026-06-09","passed","2026-06-09","Login - Usability","ui/login/usability.spec.ts","",""
"","1918","Create test case with required fields","ui-webkit","2026-06-09","passed","2026-06-09","Test Case - Functional","ui/test-case/functional.spec.ts","",""
